"","Periodos","Captaciones_def","Acreedores_def","Interno_def","Externo_def","Otros_def"
"101","2017/11",5275143290.70253,1343602706.41361,288565462.889971,42703728.4321959,1034696436.97274
"102","2017/12",5351977204.4301,1228443588.92437,316701902.702747,42601193.3393905,1021006574.01427
"103","2018/01",5201433012.19236,1178965501.75669,298922262.764504,29747379.5970664,1219985051.73638
"104","2018/02",5264437583.6509,1197575777.86715,297954008.025136,36488970.8266065,1145738191.85607
"105","2018/03",5266146524.51549,1232235152.88031,290912894.136208,39932040.1629684,1082014254.92646
"106","2018/04",5330789640.82356,1206531126.37702,299996104.11771,36288581.4666891,1182983641.83044
"107","2018/05",5304241749.84853,1347590169.83767,290866287.673614,34452247.9796924,1141167580.98148
"108","2018/06",5364514579.94802,1133894851.84267,303389979.001965,34994966.5294202,1157041150.03197
"109","2018/07",5307858565.23688,1225951747.74583,312147919.734071,47184587.6913944,1056980191.61449
"110","2018/08",5408819130.91207,1152326543.78354,300713051.875171,52810673.6602665,993153988.433742
"111","2018/09",5352317097.6832,1243632965.80087,294573272.484609,56887773.0824259,946451808.339939
"112","2018/10",5446445717.95263,1164400549.34759,305779836.769131,64476444.8012017,999894524.091648
"113","2018/11",5429300018.3594,1265427164.35454,308570714.48713,60531687.5999136,962673983.899576
"114","2018/12",5420447650.92319,1190625802.47801,322110965.965964,79372378.8552279,1023942730.08369
"115","2019/01",5365163141.07701,1240586418.21384,314749887.883069,68507652.9142983,910164744.207563
"116","2019/02",5439952887.95743,1104044233.67278,308404444.801584,78642282.839802,1095017567.59942
"117","2019/03",5463265851.90555,1126529754.91379,306659253.939184,78543355.5162175,1082284517.1152
"118","2019/04",5513428222.51693,1189316314.42625,302152132.342947,76562185.2098196,1083494336.11251
"119","2019/05",5539525969.2809,1360092140.84524,302717633.299832,80510279.452385,1004825693.45579
"120","2019/06",5597409350.72429,1122824881.7072,303006175.059626,79893290.6517479,1008712979.27746
"121","2019/07",5551883214,1157773129,288495520,86266231,1054463453
"122","2019/08",5685656715.63274,1257388227.68914,285273395.205482,87814444.1695971,1017780304.32953
"123","2019/09",5532774601.77134,1363396809.34349,278047933.463923,86284753.2683402,866777392.324813
"124","2019/10",5553355526.24176,1417614289.62872,272167886.394264,88105184.002885,1003644778.07366
"125","2019/11",5616456271.84763,1428466565.72012,284133274.078267,79133183.082793,1058614023.87984
"126","2019/12",5654338885.56087,1242337402.70665,301033022.814842,96650316.4069592,976221774.852629
"127","2020/01",5580841025.03271,1224381897.51015,281384157.874453,90330729.231881,1091389279.6578
"128","2020/02",5648934783.09321,1253582430.73465,278440035.1993,69454357.2364066,1085118236.73099
"129","2020/03",5955441971.85524,1230336165.50618,305806612.456901,88642690.8984648,1045399465.36737
"130","2020/04",6029496092.4513,1284590136.76503,480996970.787925,85466969.2680622,919850860.783911
"131","2020/05",6010776130.65376,1282133885.80774,474901728.030322,83930403.9211937,958380479.843446
"132","2020/06",6059458478.14162,1199589246.40912,373035512.449346,90627816.5476173,1086778602.34028
"133","2020/07",6002888910.62983,1243428694.6725,352569610.516312,89768197.6101277,1036419838.03409
"134","2020/08",5945491190.19316,1274854395.86376,335669422.78587,82488407.0324803,1025758449.36869
"135","2020/09",5932378241.36263,1321809632.77005,310375434.753302,84333583.6654054,1011040222.63713
"136","2020/10",5969055235.29993,1301330394.8303,309688785.324664,65323668.4929296,1015513512.40626
"137","2020/11",5946358528.95579,1474148251.24245,311217926.695355,58936174.0890971,876586747.40716
"138","2020/12",5974925206.54044,1351652924.37375,312352561.361145,53449786.0579052,908754864.649364
"139","2021/01",5894326017.69083,1484986334.56276,296683644.748513,55489676.637953,946561279.206068
"140","2021/02",5872799038.12621,1398983440.67677,284077545.904813,51234638.3820672,948450932.688627
"141","2021/03",5846390602.59974,1406102639.23906,288817021.068835,42806633.3676041,820725103.171635
"142","2021/04",5750033984.08271,1533196772.37243,287210465.249769,39529045.3400008,788606845.305469
"143","2021/05",5733079895.89275,1527394466.16858,282809504.77349,38963343.8029283,766902352.281705
"144","2021/06",5709047413.73439,1365287860.52597,274298220.877833,39061577.0239404,836690516.683862
"145","2021/07",5724954004.80467,1406951362.93469,262612492.892689,37293101.6808282,799391885.939903
"146","2021/08",5688920095.09024,1442896441.0013,256245757.020192,33306650.356268,803311693.778641
"147","2021/09",5683633017.52989,1448124123.69911,256366972.701772,33890758.7975229,733277032.202477
"148","2021/10",5667223297.65944,1514661575.00063,252442336.260224,30688701.6035618,815129201.79349
"149","2021/11",5753812420.89727,1513957942.26367,285411909.28797,34690440.6429642,806442554.626254
"150","2021/12",5762247584.45417,1311317458.95851,274590420.414072,34504236.9155972,856179303.088644
"151","2022/01",5703814414.03672,1278932948.11632,245299692.754341,23295855.8460363,977547651.740659
"152","2022/02",5770506564.72554,1168389424.84018,239929852.068081,23253918.8950596,930763861.464635
"153","2022/03",5784932231.77556,1165694115.21284,237243591.242188,20900341.5952653,923449539.406905
"154","2022/04",5755362743.90271,1271971944.29206,242598939.980531,21872911.147669,856644848.979684
"155","2022/05",5768106063.44416,1277465593.11651,230946883.502664,33171628.993339,822241806.090848
"156","2022/06",5768393112.75674,1161052348.05734,224999104.617443,37786038.4700216,879187806.660373
"157","2022/07",5782421759.57796,1197727876.41972,233131742.540815,38358176.8620182,792936563.153595
"158","2022/08",5742307878.21477,1254268779.81787,236738539.8933,40297070.0269351,883862461.753616
"159","2022/09",5740772848.19663,1351877217.728,238767249.21631,40815141.3175779,789226057.847129
"160","2022/10",5824810629.82017,1267969164.73909,242546683.378506,41896929.339311,998500419.191954
"161","2022/11",5902556322.05602,1329143748.5287,241850251.455073,41528716.8620225,927348633.697226
"162","2022/12",6009163652.09282,1191419262.2545,252644100.715375,46894003.8024866,884602714.236091
"163","2023/01",5878071966.44268,1330573892.47979,239931004.025736,35393753.7807941,975936113.534704
"164","2023/02",5909309825.7478,1333688485.00954,235370786.760335,35131849.100054,959424526.823781
"165","2023/03",5996981820.84167,1273536619.87439,227626807.369009,32540724.3566156,853526719.340345
