"","Periodos","Consumo_def","Vivienda_def","Empresas_def","Intermediarios_financieros_no_bancarios_Def","Programas_de_reestructura_Def"
"80","2016/02",943628.564738717,750806.384565779,2075086.25976235,68175.7420671633,0
"81","2016/03",952865.063824419,756619.086162149,2036133.19782106,67837.6909544008,0
"82","2016/04",959412.502234851,760137.169788694,2045400.95009239,68272.7011510443,0
"83","2016/05",961696.006931876,764552.102900681,2073995.58850253,72238.7654271192,0
"84","2016/06",968097.47717527,762543.929974547,2094251.49160469,77294.698895048,0
"85","2016/07",976313.257285299,767103.3735543,2130238.7674659,82245.1655020597,0
"86","2016/08",985583.460274785,768483.329889121,2135899.57444091,82338.7161660781,0
"87","2016/09",982796.017580198,766930.569008122,2156378.76859414,80487.0405192477,0
"88","2016/10",991037.84654587,770441.420825361,2162179.80231909,84484.1203922029,0
"89","2016/11",1002815.17134932,769523.858440288,2231357.78656531,81193.997696527,0
"90","2016/12",986041.15786572,770073.896379355,2206947.70362111,87615.5379256548,0
"91","2017/01",964580.235586984,760712.447664837,2156196.47632108,82146.4051406723,0
"92","2017/02",961892.820110428,760033.327210185,2150798.56217501,82681.9630224471,0
"93","2017/03",967299.925331321,767637.635474985,2181443.8179746,90348.1879595923,0
"94","2017/04",979711.259648424,772939.119265476,2233366.0788879,99449.3973119865,0
"95","2017/05",983158.819303813,777692.191144999,2240112.84984492,95225.0802567914,0
"96","2017/06",1000618.32447229,785118.440604356,2279259.25806298,94943.4010039389,0
"97","2017/07",1012902.08951159,793100.975911589,2303128.11727603,97969.5604007178,0
"98","2017/08",1021477.07153883,796926.496809961,2342028.52506746,98331.4098475298,0
"99","2017/09",1024350.95118686,802548.592738607,2354039.02361302,97687.4542031277,0
"100","2017/10",1018846.32838108,798859.736384815,2376853.84186195,88172.158788956,0
"101","2017/11",1031729.90796798,796943.997013519,2371788.46716376,89341.9594521506,0
"102","2017/12",1019215.82962754,798169.60721065,2429075.62271697,91682.9777040855,0
"103","2018/01",1010221.45162995,795647.580528313,2395944.17582831,85355.2440186955,0
"104","2018/02",1008354.19977881,796154.30941912,2408753.91392615,79325.7607163295,0
"105","2018/03",1010188.85554031,799377.454362546,2409414.04455713,74591.084882999,0
"106","2018/04",1015178.33311446,804014.080144857,2453983.99188686,76704.9609839047,0
"107","2018/05",1004873.76652165,800125.760495921,2497712.19307611,74660.7392099062,0
"108","2018/06",1002068.18466459,797855.283806257,2508621.42960092,117677.785923762,0
"109","2018/07",1011765.23590132,809897.052890777,2502122.31870269,115667.707620453,0
"110","2018/08",1018574.97996143,815673.414682001,2541773.28392111,114030.613271862,0
"111","2018/09",1020744.48050947,820516.436170592,2531613.84098562,118413.257061533,0
"112","2018/10",1020269.57389496,822876.543544813,2573283.14970327,121102.741868488,0
"113","2018/11",1031023.92370653,820490.221039659,2564099.07538159,121568.211466467,0
"114","2018/12",1019153.08291209,823139.736353437,2545289.08732658,127556.400235324,0
"115","2019/01",1022629.6830932,832748.941369428,2546579.53875641,122989.716734812,0
"116","2019/02",1023489.18428072,837045.670990595,2575503.13195031,120677.844823682,0
"117","2019/03",1026694.13692231,846564.855667448,2621849.57664553,114207.556760464,0
"118","2019/04",1027939.73014768,847547.526568939,2629064.26775256,114007.939529715,0
"119","2019/05",1033393.74540605,857309.674251361,2658014.75424945,110497.093858104,0
"120","2019/06",1038021.41738033,861114.660972202,2658101.95901321,110963.607965042,0
"121","2019/07",1039758.9,867673.2,2634445.3,107905.9,0
"122","2019/08",1054174.87334555,880171.364399346,2697137.64884105,102765.379261996,0
"123","2019/09",1053369.10159671,882978.755802807,2642108.57681757,109144.410582935,0
"124","2019/10",1060504.47263838,891937.723515404,2619769.79662631,105182.057326459,0
"125","2019/11",1082272.96783831,900542.864029737,2649588.42692863,106899.73123084,0
"126","2019/12",1064526.26439473,903275.402625187,2602282.19810113,113875.373119979,0
"127","2020/01",1061302.54581361,909587.939294377,2614076.2284826,109682.452744145,0
"128","2020/02",1056211.89657019,910607.284053721,2639434.57757844,109022.30259172,0
"129","2020/03",1022125.39407839,895389.531198017,2868890.5631842,117204.944926492,0
"130","2020/04",977047.73361071,881273.485020784,2892659.2950048,116270.202814237,0
"131","2020/05",971365.166921049,893765.781556254,2829205.71321571,114436.835135266,0
"132","2020/06",968892.814543547,905252.239760376,2806213.22484383,108081.251935913,0
"133","2020/07",939132.969188768,905529.713136029,2716852.43875442,102130.380437629,0
"134","2020/08",939787.21803684,906856.766044965,2663165.7229575,99649.5968621702,0
"135","2020/09",943185.896573581,919019.290073887,2628838.21210019,99022.9718549709,0
"136","2020/10",937751.339714199,926078.038497785,2568189.11163445,96295.9827856214,0
"137","2020/11",952029.509629007,935081.511604979,2514510.00183539,95998.637338696,0
"138","2020/12",933160.246939247,942516.262283259,2462304.24211808,96020.8093505627,0
"139","2021/01",911207.506257381,938719.378997379,2449752.66438572,90931.3347224583,0
"140","2021/02",895080.913380917,932135.491744671,2434704.85749936,89971.7772056505,0
"141","2021/03",884989.505329425,926901.151948884,2391978.00938473,82549.5010678909,0
"142","2021/04",884130.426520551,928998.541992892,2384615.04048496,79981.8015440465,0
